instrument,timeframe,method,n_levels_generated,n_touched,touch_rate,support_accuracy,break_rate,false_breakout_recovery,avg_hold_duration_bars
ES,1h,DeepSupp,1870.0,763.0,0.40802139037433155,0.40235910878112713,0.49017038007863695,0.2887700534759358,5.6815203145478375
ES,1h,GMM,5550.0,2279.0,0.41063063063063066,0.41641070645019745,0.4563405002193945,0.31346153846153846,5.994734532689776
ES,1h,HDBSCAN,11110.0,4807.0,0.43267326732673267,0.41314749323902644,0.4620345329727481,0.2935614588023413,5.957561888912004
ES,1h,HMM-Levels,4299.0,1841.0,0.42823912537799486,0.40467137425312333,0.4660510592069527,0.2948717948717949,5.89516567083107
ES,1h,Isolation-Forest,5114.0,1935.0,0.37837309346890885,0.4103359173126615,0.469250645994832,0.26762114537444937,5.814987080103359
ES,1h,KDE,3314.0,1438.0,0.4339167169583585,0.40611961057023643,0.4673157162726008,0.3169642857142857,5.954102920723226
ES,1h,MeanShift,7326.0,3059.0,0.4175539175539176,0.41876430205949655,0.45308924485125857,0.31024531024531027,6.001634521085322
ES,1h,OPTICS,11437.0,5004.0,0.43752732359884583,0.40487609912070344,0.47442046362909673,0.3087615838247683,5.883493205435651
ES,1h,Peak-Valley,14003.0,6030.0,0.430622009569378,0.41509121061359866,0.46202321724709783,0.29827709978463746,5.920398009950249
ES,1h,Wavelet,51021.0,22001.0,0.43121459791066424,0.41561747193309395,0.46202445343393483,0.3025086079685194,5.915594745693378
ES,4h,DeepSupp,650.0,255.0,0.3923076923076923,0.42745098039215684,0.4980392156862745,0.3779527559055118,5.713725490196079
ES,4h,GMM,1397.0,565.0,0.4044380816034359,0.4247787610619469,0.4761061946902655,0.38661710037174724,5.853097345132744
ES,4h,HDBSCAN,2866.0,1167.0,0.4071877180739707,0.44473007712082263,0.4541559554413025,0.3339622641509434,6.10968294772922
ES,4h,HMM-Levels,1116.0,469.0,0.42025089605734767,0.43923240938166314,0.47334754797441364,0.38738738738738737,5.865671641791045
ES,4h,Isolation-Forest,1583.0,551.0,0.34807327858496523,0.4010889292196007,0.49364791288566245,0.34558823529411764,5.647912885662432
ES,4h,KDE,810.0,341.0,0.42098765432098767,0.39296187683284456,0.46920821114369504,0.36875,5.832844574780059
ES,4h,MeanShift,1848.0,735.0,0.3977272727272727,0.4272108843537415,0.46530612244897956,0.4152046783625731,5.937414965986394
ES,4h,OPTICS,2976.0,1306.0,0.4388440860215054,0.40888208269525267,0.49234303215926495,0.3421461897356143,5.66385911179173
ES,4h,Peak-Valley,3692.0,1520.0,0.41170097508125675,0.44802631578947366,0.47039473684210525,0.34545454545454546,5.891447368421052
ES,4h,Wavelet,13541.0,5743.0,0.42411934125987744,0.4177259272157409,0.4861570607696326,0.3459885386819484,5.8079401009925125
NQ,1h,DeepSupp,1834.0,805.0,0.4389312977099237,0.4186335403726708,0.46335403726708074,0.2680965147453083,5.795031055900621
NQ,1h,GMM,5790.0,2442.0,0.42176165803108806,0.41973791973791974,0.4451269451269451,0.26310947562097514,6.038902538902539
NQ,1h,HDBSCAN,10613.0,4663.0,0.43936681428436825,0.4046751018657517,0.46193437701050827,0.27808727948003714,5.921724211880764
NQ,1h,HMM-Levels,4299.0,1809.0,0.4207955338450802,0.4206744057490326,0.4444444444444444,0.2873134328358209,6.090105030403538
NQ,1h,Isolation-Forest,5232.0,2028.0,0.3876146788990826,0.4151873767258383,0.46055226824457596,0.28586723768736616,5.919625246548324
NQ,1h,KDE,3434.0,1474.0,0.42923704135119395,0.4185888738127544,0.451831750339213,0.29429429429429427,6.043419267299864
NQ,1h,MeanShift,7248.0,3023.0,0.4170805739514349,0.4181276877274231,0.4465762487595104,0.2733333333333333,6.008600727753887
NQ,1h,OPTICS,11464.0,5129.0,0.447400558269365,0.4135309027100799,0.4636381360889062,0.28259041211101765,5.886527588223825
NQ,1h,Peak-Valley,14006.0,5966.0,0.42596030272740254,0.41300703989272547,0.46362722091853836,0.2621113521330441,5.888535031847134
NQ,1h,Wavelet,51054.0,21661.0,0.42427625651271206,0.4118923410738193,0.4650293153594017,0.2757867566762633,5.8563316559715615
NQ,4h,DeepSupp,600.0,261.0,0.435,0.41379310344827586,0.4942528735632184,0.35658914728682173,5.708812260536399
NQ,4h,GMM,1468.0,597.0,0.40667574931880107,0.4639865996649916,0.45226130653266333,0.35185185185185186,6.125628140703518
NQ,4h,HDBSCAN,2912.0,1216.0,0.4175824175824176,0.4284539473684211,0.46463815789473684,0.3663716814159292,5.9868421052631575
NQ,4h,HMM-Levels,1116.0,466.0,0.4175627240143369,0.3948497854077253,0.4978540772532189,0.33620689655172414,5.723175965665236
NQ,4h,Isolation-Forest,1649.0,652.0,0.3953911461491813,0.4294478527607362,0.4662576687116564,0.3815789473684211,5.877300613496932
NQ,4h,KDE,812.0,342.0,0.4211822660098522,0.4619883040935672,0.4415204678362573,0.33112582781456956,6.119883040935672
NQ,4h,MeanShift,1903.0,787.0,0.41355754072517076,0.44726810673443457,0.46124523506988563,0.34710743801652894,6.03430749682338
NQ,4h,OPTICS,2976.0,1283.0,0.43111559139784944,0.4450506625097428,0.4583008573655495,0.32142857142857145,5.9945440374123145
NQ,4h,Peak-Valley,3690.0,1536.0,0.416260162601626,0.4264322916666667,0.4798177083333333,0.3120759837177748,5.841796875
NQ,4h,Wavelet,13729.0,5663.0,0.41248452181513584,0.41744658308317145,0.48631467420095353,0.35076252723311546,5.802931308493731
