instrument,timeframe,fold,level_type,n,unconditional_acc,filtered_acc,n_filtered
ES,1h,1,GMM,1136,0.44190140845070425,0.4982394366197183,568
ES,1h,1,HDBSCAN,2634,0.4411541381928626,0.5178435839028094,1317
ES,1h,1,Isolation-Forest,933,0.45016077170418006,0.5203426124197003,467
ES,1h,1,KDE,703,0.4395448079658606,0.5028409090909091,352
ES,1h,1,MeanShift,1620,0.4265432098765432,0.48518518518518516,810
ES,1h,1,OPTICS,2632,0.4502279635258359,0.49544072948328266,1316
ES,1h,1,TDA,1714,0.4305717619603267,0.48191365227537925,857
ES,1h,1,VWAP,590,0.4033898305084746,0.43389830508474575,295
ES,1h,2,GMM,1109,0.42560865644724977,0.4774774774774775,555
ES,1h,2,HDBSCAN,2420,0.4297520661157025,0.4793388429752066,1210
ES,1h,2,Isolation-Forest,1079,0.44300278035217794,0.49074074074074076,540
ES,1h,2,KDE,708,0.423728813559322,0.4858757062146893,354
ES,1h,2,MeanShift,1512,0.41335978835978837,0.4523809523809524,756
ES,1h,2,OPTICS,2484,0.4255233494363929,0.4758454106280193,1242
ES,1h,2,TDA,2012,0.4398608349900596,0.4960238568588469,1006
ES,1h,2,VWAP,634,0.44952681388012616,0.4353312302839117,317
ES,1h,3,GMM,1130,0.39646017699115044,0.44778761061946903,565
ES,1h,3,HDBSCAN,2498,0.37630104083266613,0.4099279423538831,1249
ES,1h,3,Isolation-Forest,962,0.37422037422037424,0.4095634095634096,481
ES,1h,3,KDE,699,0.3776824034334764,0.43714285714285717,350
ES,1h,3,MeanShift,1526,0.38990825688073394,0.42857142857142855,763
ES,1h,3,OPTICS,2581,0.36574970941495544,0.42215336948102244,1291
ES,1h,3,TDA,1966,0.38606307222787384,0.47202441505595116,983
ES,1h,3,VWAP,601,0.39933444259567386,0.43853820598006643,301
ES,1h,4,GMM,1185,0.4388185654008439,0.47217537942664417,593
ES,1h,4,HDBSCAN,2408,0.45141196013289037,0.49667774086378735,1204
ES,1h,4,Isolation-Forest,1003,0.4456630109670987,0.5258964143426295,502
ES,1h,4,KDE,763,0.4325032765399738,0.4790575916230366,382
ES,1h,4,MeanShift,1592,0.4478643216080402,0.4962311557788945,796
ES,1h,4,OPTICS,2528,0.4454113924050633,0.5015822784810127,1264
ES,1h,4,TDA,1856,0.46497844827586204,0.5323275862068966,928
ES,1h,4,VWAP,626,0.46006389776357826,0.46006389776357826,313
ES,4h,1,GMM,284,0.5316901408450704,0.5774647887323944,142
ES,4h,1,HDBSCAN,631,0.48177496038034867,0.5253164556962026,316
ES,4h,1,Isolation-Forest,270,0.43703703703703706,0.4962962962962963,135
ES,4h,1,KDE,171,0.52046783625731,0.5930232558139535,86
ES,4h,1,MeanShift,390,0.46153846153846156,0.48717948717948717,195
ES,4h,1,OPTICS,696,0.47413793103448276,0.5229885057471264,348
ES,4h,1,TDA,463,0.4816414686825054,0.5689655172413793,232
ES,4h,1,VWAP,174,0.40229885057471265,0.39080459770114945,87
ES,4h,2,GMM,277,0.4584837545126354,0.5467625899280576,139
ES,4h,2,HDBSCAN,613,0.4893964110929853,0.5700325732899023,307
ES,4h,2,Isolation-Forest,281,0.48398576512455516,0.5602836879432624,141
ES,4h,2,KDE,181,0.47513812154696133,0.5274725274725275,91
ES,4h,2,MeanShift,389,0.4704370179948586,0.5641025641025641,195
ES,4h,2,OPTICS,679,0.508100147275405,0.638235294117647,340
ES,4h,2,TDA,440,0.5386363636363637,0.5909090909090909,220
ES,4h,2,VWAP,190,0.43157894736842106,0.3684210526315789,95
ES,4h,3,GMM,302,0.4271523178807947,0.5165562913907285,151
