instrument,timeframe,fold,level_type,n,unconditional_acc,filtered_acc,n_filtered
ES,1h,1,GMM,1199,0.4370308590492077,0.4866666666666667,600
ES,1h,1,TDA,1823,0.4339001645639057,0.5054824561403509,912
ES,1h,1,VWAP,632,0.40348101265822783,0.40189873417721517,316
ES,1h,2,GMM,1088,0.43106617647058826,0.4742647058823529,544
ES,1h,2,TDA,1958,0.4397344228804903,0.48314606741573035,979
ES,1h,2,VWAP,615,0.45365853658536587,0.5097402597402597,308
ES,1h,3,GMM,1117,0.39570277529095793,0.4472271914132379,559
ES,1h,3,TDA,1942,0.38362512873326465,0.4572605561277034,971
ES,1h,3,VWAP,595,0.4,0.4228187919463087,298
ES,1h,4,GMM,1180,0.43728813559322033,0.4915254237288136,590
ES,1h,4,TDA,1849,0.4645754461871282,0.5156756756756756,925
ES,1h,4,VWAP,623,0.4590690208667737,0.5032051282051282,312
ES,4h,1,GMM,285,0.5263157894736842,0.6223776223776224,143
ES,4h,1,TDA,457,0.4814004376367615,0.5807860262008734,229
ES,4h,1,VWAP,174,0.40229885057471265,0.41379310344827586,87
ES,4h,2,GMM,282,0.46099290780141844,0.5957446808510638,141
ES,4h,2,TDA,444,0.5405405405405406,0.6441441441441441,222
ES,4h,2,VWAP,192,0.4270833333333333,0.4479166666666667,96
ES,4h,3,GMM,297,0.43097643097643096,0.4966442953020134,149
ES,4h,3,TDA,451,0.48558758314855877,0.5353982300884956,226
ES,4h,3,VWAP,168,0.39880952380952384,0.39285714285714285,84
ES,4h,4,GMM,277,0.4187725631768953,0.43884892086330934,139
ES,4h,4,TDA,463,0.4470842332613391,0.5129310344827587,232
ES,4h,4,VWAP,175,0.4685714285714286,0.48863636363636365,88
NQ,1h,1,GMM,1180,0.44152542372881354,0.49830508474576274,590
NQ,1h,1,TDA,1904,0.4332983193277311,0.4800420168067227,952
NQ,1h,1,VWAP,620,0.45483870967741935,0.5129032258064516,310
NQ,1h,2,GMM,1207,0.424192212096106,0.4917218543046358,604
NQ,1h,2,TDA,1876,0.4493603411513859,0.5394456289978679,938
NQ,1h,2,VWAP,619,0.4297253634894992,0.5,310
NQ,1h,3,GMM,1183,0.41335587489433645,0.43074324324324326,592
NQ,1h,3,TDA,1936,0.4065082644628099,0.44111570247933884,968
NQ,1h,3,VWAP,580,0.4396551724137931,0.4482758620689655,290
NQ,1h,4,GMM,1209,0.4317617866004963,0.4991735537190083,605
NQ,1h,4,TDA,1883,0.44609665427509293,0.5148619957537155,942
NQ,1h,4,VWAP,599,0.44240400667779634,0.5,300
NQ,4h,1,GMM,326,0.4263803680981595,0.5460122699386503,163
NQ,4h,1,TDA,426,0.42018779342723006,0.5211267605633803,213
NQ,4h,1,VWAP,168,0.40476190476190477,0.3333333333333333,84
NQ,4h,2,GMM,265,0.44528301886792454,0.5864661654135338,133
NQ,4h,2,TDA,456,0.40789473684210525,0.4780701754385965,228
NQ,4h,2,VWAP,186,0.45161290322580644,0.5161290322580645,93
NQ,4h,3,GMM,286,0.47202797202797203,0.5524475524475524,143
NQ,4h,3,TDA,460,0.44782608695652176,0.5217391304347826,230
NQ,4h,3,VWAP,168,0.38095238095238093,0.4166666666666667,84
NQ,4h,4,GMM,295,0.4711864406779661,0.5135135135135135,148
NQ,4h,4,TDA,459,0.42701525054466233,0.5434782608695652,230
NQ,4h,4,VWAP,160,0.4,0.4625,80
