instrument,timeframe,method,n_levels_generated,n_touched,touch_rate,support_accuracy,break_rate,false_breakout_recovery,avg_hold_duration_bars
ES,1h,HDBSCAN,28072.0,12469.0,0.44417925334853237,0.1579116208196327,0.5158392814179165,0.384794776119403,4.7425615526505736
ES,1h,Isolation-Forest,12758.0,4953.0,0.38822699482677536,0.17605491621239652,0.5328083989501312,0.39408866995073893,4.505148394912174
ES,1h,KDE,8172.0,3588.0,0.4390602055800294,0.16276477146042365,0.5181159420289855,0.41581495427649273,4.749442586399108
ES,1h,MeanShift,18441.0,7851.0,0.42573613144623396,0.16125334352311807,0.5177684371417653,0.3965559655596556,4.711246974907655
ES,1h,OPTICS,28025.0,12685.0,0.45263157894736844,0.15435553803705163,0.5117067402443831,0.3923894623324603,4.770358691367758
ES,1h,Peak-Valley,35021.0,15484.0,0.4421347191684989,0.15855076207698268,0.5213769051924567,0.3877121268425616,4.6745672952725394
ES,4h,HDBSCAN,7216.0,3073.0,0.4258592017738359,0.32866905304262933,0.5850959973966807,0.5105672969966629,3.9755938821998047
ES,4h,Isolation-Forest,4085.0,1459.0,0.3571603427172583,0.3159698423577793,0.6065798492117889,0.5446327683615819,3.706648389307745
ES,4h,KDE,2003.0,881.0,0.4398402396405392,0.3087400681044268,0.5947786606129398,0.5133587786259542,3.898978433598184
ES,4h,MeanShift,4700.0,1940.0,0.4127659574468085,0.3247422680412371,0.5922680412371134,0.5195822454308094,3.9216494845360823
ES,4h,OPTICS,7394.0,3389.0,0.45834460373275626,0.3219238713484804,0.5948657421068162,0.5034722222222222,3.8858070227205666
ES,4h,Peak-Valley,9140.0,3959.0,0.43315098468271335,0.3132104066683506,0.5983834301591311,0.5090755593077247,3.8901237686284413
NQ,1h,HDBSCAN,27225.0,12004.0,0.44091827364554637,0.21051316227924025,0.5733922025991336,0.41159378178120004,4.226174608463845
NQ,1h,Isolation-Forest,13189.0,4981.0,0.3776632041853059,0.22726360168640836,0.5579200963661916,0.40770061173083844,4.237502509536237
NQ,1h,KDE,8420.0,3620.0,0.42992874109263657,0.22790055248618785,0.5577348066298342,0.42149578999504705,4.356077348066298
NQ,1h,MeanShift,18226.0,7564.0,0.4150115220015363,0.21747752511898466,0.5634584875727129,0.40685124354763025,4.2887361184558435
NQ,1h,OPTICS,28559.0,12849.0,0.4499107111593543,0.2183049264534205,0.5658027862090435,0.4170563961485557,4.307572573741147
NQ,1h,Peak-Valley,34996.0,15069.0,0.430592067664876,0.2196562479262061,0.5725661955006968,0.40426518312471027,4.213285553122304
NQ,4h,HDBSCAN,7140.0,3002.0,0.4204481792717087,0.33111259160559625,0.6222518321119254,0.5112419700214133,3.5449700199866756
NQ,4h,Isolation-Forest,4193.0,1560.0,0.37204865251609825,0.32756410256410257,0.6365384615384615,0.5226586102719033,3.3974358974358974
NQ,4h,KDE,2038.0,863.0,0.4234543670264966,0.3626882966396292,0.5816917728852838,0.5039840637450199,3.805330243337196
NQ,4h,MeanShift,4716.0,1947.0,0.4128498727735369,0.33949666153055985,0.6214689265536724,0.540495867768595,3.589625064201335
NQ,4h,OPTICS,7416.0,3280.0,0.44228694714131606,0.32957317073170733,0.6225609756097561,0.5284035259549461,3.567073170731707
NQ,4h,Peak-Valley,9148.0,3855.0,0.4214035854831657,0.3291828793774319,0.6249027237354086,0.5006226650062267,3.541634241245136
