instrument,timeframe,method,n_levels_generated,n_touched,touch_rate,support_accuracy,break_rate,false_breakout_recovery,avg_hold_duration_bars
ES,1h,GMM,13573.0,5743.0,0.42311942827672583,0.42834755354344417,0.43931742991467876,0.3273880301228696,6.16646352080794
ES,1h,HDBSCAN,28072.0,12469.0,0.44417925334853237,0.425535327612479,0.4450236586735103,0.3195170300955127,6.130243002646563
ES,1h,Isolation-Forest,12758.0,4953.0,0.38822699482677536,0.4316575812638805,0.4435695538057743,0.28903049613108783,6.074702200686453
ES,1h,KDE,8172.0,3588.0,0.4390602055800294,0.42112597547380154,0.4431438127090301,0.34276729559748426,6.135172798216276
ES,1h,MeanShift,18441.0,7851.0,0.42573613144623396,0.42134759903197044,0.44835052859508345,0.32954545454545453,6.079862437905999
ES,1h,OPTICS,28025.0,12685.0,0.45263157894736844,0.4214426487977927,0.44414662987780845,0.3306709265175719,6.149940875049271
ES,1h,TDA,22976.0,9493.0,0.41317026462395545,0.42768355630464555,0.4484356894553882,0.3128964059196617,6.061097650900663
ES,4h,GMM,3383.0,1422.0,0.4203369790127106,0.45569620253164556,0.44022503516174405,0.36421725239616615,6.1835443037974684
ES,4h,HDBSCAN,7216.0,3073.0,0.4258592017738359,0.46631955743573056,0.4337780670354702,0.3345836459114779,6.297754637162382
ES,4h,Isolation-Forest,4085.0,1459.0,0.3571603427172583,0.429061000685401,0.4537354352296093,0.3957703927492447,5.9396847155586014
ES,4h,KDE,2003.0,881.0,0.4398402396405392,0.4358683314415437,0.4426787741203178,0.34615384615384615,6.204313280363223
ES,4h,MeanShift,4700.0,1940.0,0.4127659574468085,0.43762886597938144,0.45309278350515464,0.3742889647326507,6.062371134020618
ES,4h,OPTICS,7394.0,3389.0,0.45834460373275626,0.4499852463853644,0.4476246680436707,0.34278180619644033,6.100914724107406
ES,4h,TDA,5925.0,2315.0,0.39071729957805906,0.4898488120950324,0.4194384449244061,0.3666323377960865,6.308855291576674
NQ,1h,GMM,14291.0,5977.0,0.4182352529564061,0.43132006023088504,0.4405220010038481,0.2939612609191037,6.112932909486364
NQ,1h,HDBSCAN,27225.0,12004.0,0.44091827364554637,0.41711096301232925,0.4598467177607464,0.30144927536231886,5.944018660446518
NQ,1h,Isolation-Forest,13189.0,4981.0,0.3776632041853059,0.43525396506725555,0.4487050793013451,0.2935123042505593,5.980726761694439
NQ,1h,KDE,8420.0,3620.0,0.42992874109263657,0.43701657458563536,0.4408839779005525,0.3132832080200501,6.147513812154696
NQ,1h,MeanShift,18226.0,7564.0,0.4150115220015363,0.42477525118984666,0.4481755684822845,0.29646017699115046,6.030671602326811
NQ,1h,OPTICS,28559.0,12849.0,0.4499107111593543,0.4247801385321815,0.4573896801307495,0.31053258465203337,5.994007315744416
NQ,1h,TDA,23351.0,9505.0,0.4070489486531626,0.4353498158863756,0.4425039452919516,0.2993342843556824,6.0658600736454495
NQ,4h,GMM,3523.0,1456.0,0.4132841328413284,0.44436813186813184,0.4574175824175824,0.3408408408408408,6.019230769230769
NQ,4h,HDBSCAN,7140.0,3002.0,0.4204481792717087,0.42771485676215854,0.4633577614923384,0.33932422717469446,5.94670219853431
NQ,4h,Isolation-Forest,4193.0,1560.0,0.37204865251609825,0.4198717948717949,0.47628205128205126,0.3445491251682369,5.835897435897436
NQ,4h,KDE,2038.0,863.0,0.4234543670264966,0.4600231749710313,0.43684820393974505,0.32625994694960214,6.148319814600232
NQ,4h,MeanShift,4716.0,1947.0,0.4128498727735369,0.4463276836158192,0.4571135079609656,0.34606741573033706,6.036466358500257
NQ,4h,OPTICS,7416.0,3280.0,0.44228694714131606,0.42865853658536585,0.46432926829268295,0.3388049901510177,5.999390243902439
NQ,4h,TDA,5930.0,2278.0,0.3841483979763912,0.42493415276558383,0.4701492537313433,0.35014005602240894,5.835381913959614
