instrument,timeframe,date,anchor_price,sigma_price,day_high,day_low,breach_hod_id,breach_lod_id,breach_hod_pm,breach_lod_pm
NQ,1h,2014-01-09,3565.5,4.058217029676887,3577.0,3535.5,True,True,True,True
NQ,1h,2014-01-10,3554.0,4.407788458624344,3572.0,3529.5,True,True,True,True
NQ,1h,2014-01-12,3563.25,5.9012071135941895,3563.25,3551.0,False,True,False,True
NQ,1h,2014-01-13,3554.0,5.5687087587826465,3566.5,3492.5,True,True,True,True
NQ,1h,2014-01-14,3507.5,5.653393122595217,3576.5,3503.25,True,False,True,False
NQ,1h,2014-01-15,3573.5,4.815270698247432,3610.25,3571.75,True,False,True,False
NQ,1h,2014-01-16,3601.75,4.717698077708515,3608.25,3591.75,False,True,False,True
NQ,1h,2014-01-17,3598.5,3.8346623505246713,3609.0,3574.25,True,True,True,True
NQ,1h,2014-01-19,3584.5,4.340072122239581,3587.0,3577.5,False,True,False,False
NQ,1h,2014-01-20,3583.75,4.024570921398212,3608.75,3577.75,True,False,True,False
NQ,1h,2014-01-21,3605.5,3.9918193654733436,3621.0,3579.5,True,True,True,True
NQ,1h,2014-01-22,3617.75,4.420249167645386,3635.25,3605.0,True,True,True,True
NQ,1h,2014-01-23,3618.25,4.608536597796136,3629.0,3581.5,True,True,True,True
NQ,1h,2014-01-24,3611.5,5.0012322998522185,3615.25,3527.75,False,True,False,True
NQ,1h,2014-01-26,3531.75,6.398742106019762,3538.75,3520.25,False,True,False,False
NQ,1h,2014-01-27,3534.25,6.414209666511485,3545.0,3465.75,True,True,False,True
NQ,1h,2014-01-28,3480.0,8.106037329645796,3525.25,3477.0,True,False,True,False
NQ,1h,2014-01-29,3519.75,8.010109833398241,3529.0,3454.25,False,True,False,True
NQ,1h,2014-01-30,3482.75,8.511533706101847,3537.25,3473.25,True,False,True,False
NQ,1h,2014-01-31,3514.5,8.24268860070609,3532.75,3479.25,True,True,True,True
NQ,1h,2014-02-02,3514.0,8.835888247785142,3529.75,3512.75,True,False,False,False
NQ,1h,2014-02-03,3517.75,7.606583997996851,3527.5,3425.25,False,True,False,True
NQ,1h,2014-02-04,3439.0,7.966076349200545,3473.75,3431.5,True,False,True,False
NQ,1h,2014-02-05,3445.5,7.386095757381279,3463.25,3412.0,True,True,True,True
NQ,1h,2014-02-06,3451.75,8.036757943074726,3499.25,3448.75,True,False,True,False
NQ,1h,2014-02-07,3493.75,7.58609532641283,3561.75,3479.5,True,True,True,False
NQ,1h,2014-02-09,3560.25,8.686228031903639,3563.75,3556.25,False,False,False,False
NQ,1h,2014-02-10,3561.0,6.639678425281259,3590.25,3550.5,True,True,True,False
NQ,1h,2014-02-11,3588.25,5.9178774062616855,3626.0,3581.25,True,False,True,False
NQ,1h,2014-02-12,3620.75,4.515774357315315,3633.5,3607.0,True,True,True,True
NQ,1h,2014-02-13,3607.25,4.3176868740853545,3657.75,3596.75,True,True,True,True
NQ,1h,2014-02-14,3641.0,4.759689916404818,3668.0,3640.5,True,False,True,False
NQ,1h,2014-02-16,3660.0,5.048795849496042,3664.5,3656.5,False,False,False,False
NQ,1h,2014-02-17,3660.0,4.752074786905701,3672.5,3659.5,True,False,True,False
NQ,1h,2014-02-18,3668.25,4.659584980710597,3684.75,3654.0,True,True,True,True
NQ,1h,2014-02-19,3672.75,4.315607548846256,3679.5,3639.5,True,True,False,True
NQ,1h,2014-02-20,3642.5,5.030989058972474,3684.0,3638.25,True,False,True,False
NQ,1h,2014-02-21,3681.75,5.669731052699844,3686.75,3660.75,False,True,False,True
NQ,1h,2014-02-23,3665.75,5.9643190712726675,3673.5,3655.0,False,True,False,False
NQ,1h,2014-02-24,3663.0,5.514292250904522,3701.5,3662.0,True,False,True,False
NQ,1h,2014-02-25,3685.75,4.141740031351149,3698.75,3668.5,True,True,True,True
NQ,1h,2014-02-26,3696.25,4.68771902062276,3702.25,3662.5,False,True,False,True
NQ,1h,2014-02-27,3686.75,5.111877274053187,3706.75,3661.25,True,True,True,True
NQ,1h,2014-02-28,3699.75,5.345635794847567,3722.5,3665.0,True,True,True,True
NQ,1h,2014-03-02,3678.0,6.607604215607484,3678.0,3652.25,False,True,False,True
NQ,1h,2014-03-03,3669.0,6.414378100412675,3682.25,3637.0,True,True,True,True
