start_idx,start_date,eval_result,eval_days,funded_result,funded_days,max_drawdown,final_balance
0,2020-01-06 04:00:00,passed,7,failed_drawdown,1.0,2770.982142857133,1406.6459191452168
15,2020-03-23 04:00:00,passed,2,passed,5.0,1605.4898896745362,5999.631299721505
30,2020-09-11 07:00:00,passed,8,failed_drawdown,2.0,2150.342314697473,1179.0372932201763
45,2021-01-04 13:00:00,failed_drawdown,3,,,2925.877612732793,-2925.877612732793
60,2021-04-20 10:00:00,failed_drawdown,18,,,2017.390889963499,-2017.390889963499
75,2021-07-19 08:00:00,failed_drawdown,16,,,2461.8384325826446,-2461.8384325826446
90,2021-10-04 21:00:00,failed_drawdown,6,,,2545.5513336521744,-2545.5513336521744
105,2022-01-20 20:00:00,passed,3,passed,5.0,1923.3928571428805,7523.349913974898
120,2022-04-11 21:00:00,passed,3,passed,5.0,596.0485357117841,5024.2274874056275
135,2022-05-10 19:00:00,passed,2,failed_drawdown,0.0,3695.5308441558464,-683.947764565374
150,2022-08-23 23:00:00,passed,13,failed_drawdown,2.0,3138.1568337187855,435.42950453771505
165,2022-09-20 14:00:00,failed_drawdown,6,,,3138.1568337187855,-3138.1568337187855
180,2022-12-23 09:00:00,failed_drawdown,12,,,2117.1257138312194,-2117.1257138312194
195,2023-06-27 00:00:00,failed_drawdown,8,,,2465.1801447232356,-2465.1801447232356
210,2023-08-16 20:00:00,failed_drawdown,2,,,2060.238598105798,-2060.238598105798
225,2023-10-03 12:00:00,failed_drawdown,4,,,2281.0737179486932,-2281.0737179486932
240,2024-01-04 00:00:00,passed,10,failed_drawdown,2.0,3088.1306143634174,515.4734001407271
255,2024-04-15 20:00:00,failed_drawdown,2,,,2517.8816459610607,-2517.8816459610607
270,2024-07-17 14:00:00,failed_drawdown,4,,,2330.91339947493,-2330.91339947493
285,2024-09-06 15:00:00,passed,7,failed_drawdown,2.0,2163.879077787851,1846.175345965794
300,2025-02-24 15:00:00,passed,2,passed,5.0,543.3035714285779,10883.479756322868
315,2025-03-10 20:00:00,passed,2,passed,5.0,731.6964285714221,11861.64062214143
330,2025-08-19 13:00:00,failed_drawdown,5,,,2502.602718416638,-2502.602718416638
345,2025-11-21 00:00:00,failed_drawdown,1,,,4124.214285714261,-4124.214285714261
